"ses.mntd.ntaxa","ses.mntd.mntd.obs","ses.mntd.mntd.rand.mean","ses.mntd.mntd.rand.sd","ses.mntd.mntd.obs.rank","ses.mntd.mntd.obs.z","ses.mntd.mntd.obs.p","ses.mntd.runs","ses.mpd.ntaxa","ses.mpd.mpd.obs","ses.mpd.mpd.rand.mean","ses.mpd.mpd.rand.sd","ses.mpd.mpd.obs.rank","ses.mpd.mpd.obs.z","ses.mpd.mpd.obs.p","ses.mpd.runs","gamma","area","month","tree_size"
4,0.124658195,0.0630900604225,0.0215304206815789,988,2.85958809110389,0.987012987012987,1000,4,0.147636058333333,0.0937270568766667,0.022411256702168,996,2.40544304021343,0.995004995004995,1000,-1.67996915293688,"Baden-Wurttemberg",2020-02-01,30
12,0.028930555,0.04232159382,0.00762059895833242,31,-1.75721605259888,0.030969030969031,1000,12,0.0576919187878788,0.0933919929775758,0.00978611270655312,2,-3.64803423588111,0.001998001998002,1000,-3.82980983923942,"Bavaria",2020-02-01,30
1,NA,NA,NA,NA,NA,NA,1000,1,NA,NA,NA,NA,NA,NA,1000,NA,"Bremen",2020-02-01,30
13,0.0283273538461538,0.0421353789292308,0.00703020044953938,20,-1.96410119201958,0.01998001998002,1000,13,0.0417999153846154,0.0936869194605128,0.00898687901996459,1,-5.77363998787889,0.000999000999000999,1000,-3.64388425265898,"North Rhine-Westphalia",2020-02-01,30
103,0.125959297475728,0.146095614323245,0.00780001662370638,9,-2.58157358105068,0.00899100899100899,1000,103,0.259545936421854,0.258816932005545,0.00453835288042748,553,0.16063193751494,0.552447552447552,1000,-9.77170393510363,"Baden-Wurttemberg",2020-03-01,566
102,0.10480178285098,0.145648030168194,0.0080412478006786,1,-5.07959067170728,0.000999000999000999,1000,102,0.259842288441138,0.25868686606911,0.0044614670672139,608,0.258978124150817,0.607392607392607,1000,-7.70907156483348,"Bavaria",2020-03-01,566
44,0.137072301568182,0.168211025572548,0.012170184310878,5,-2.55860743017125,0.004995004995005,1000,44,0.252386584725159,0.258276227477786,0.00720292413832679,190,-0.817673855717632,0.18981018981019,1000,-3.74989778673532,"Berlin",2020-03-01,566
13,0.19377026,0.198003829178908,0.0228525431492296,428,-0.185255931966172,0.427572427572428,1000,13,0.287525777435897,0.258920524437992,0.013800143490103,989,2.0728228672709,0.988011988011988,1000,-4.11982681716742,"Brandenburg",2020-03-01,566
3,0.240333346666667,0.240650624092533,0.039974191426816,449,-0.00793705674941727,0.448551448551449,1000,3,0.24666672,0.259168761489,0.0322755325519681,301,-0.387353530692948,0.300699300699301,1000,-1.73205080756888,"Bremen",2020-03-01,566
92,0.101805753282609,0.148824780331392,0.00846297728352985,1,-5.55584937469812,0.000999000999000999,1000,92,0.257457303294553,0.258767318778225,0.00473288712010594,391,-0.276789927675736,0.390609390609391,1000,-8.05128322562091,"Hamburg",2020-03-01,566
4,0.0929999575,0.23210383782095,0.0346889327652641,1,-4.01003632087068,0.000999000999000999,1000,4,0.154999938333333,0.258820242018,0.0261719663378126,1,-3.96685149081328,0.000999000999000999,1000,-1.40472555152436e-06,"Hesse",2020-03-01,566
14,0.157028759285714,0.195726494398943,0.0215840194416372,42,-1.79288826244188,0.041958041958042,1000,14,0.250483176153846,0.259614707386336,0.013128917072935,231,-0.695528136994216,0.230769230769231,1000,-2.77859817104623,"Lower Saxony",2020-03-01,566
3,0.253000143333333,0.2424240343,0.0395437692409009,569,0.267453235651452,0.568431568431568,1000,3,0.276666806666667,0.2579306241456,0.0311469564454208,716,0.601541359390869,0.715284715284715,1000,-1.73205080756888,"Mecklenburg-Western Pomerania",2020-03-01,566
113,0.0987102860176991,0.143754591698166,0.0075668524020944,1,-5.9528458184277,0.000999000999000999,1000,113,0.225279552076485,0.258898319934502,0.0042190255627301,1,-7.96837263916978,0.000999000999000999,1000,4.57383843332189,"North Rhine-Westphalia",2020-03-01,566
4,0.1246770755,0.230880153055275,0.0365705712813323,10,-2.90405847746456,0.00999000999000999,1000,4,0.180809076,0.259016634882783,0.0265384193185221,7,-2.94695618243546,0.00699300699300699,1000,-0.713928419470811,"Rhineland-Palatinate",2020-03-01,566
22,0.236465285909091,0.183242614583114,0.0173277108820912,1001,3.07153505088688,1,1000,22,0.264648594329004,0.259128895408213,0.0106803379368297,683,0.516809388751357,0.682317682317682,1000,-7.30283125016822,"Saarland",2020-03-01,566
41,0.148608707185366,0.169511614408585,0.0133473167135361,56,-1.56607561443574,0.0559440559440559,1000,41,0.260288832663415,0.258730460022273,0.00759479139234048,557,0.205189657047503,0.556443556443556,1000,-6.78068467420037,"Schleswig-Holstein",2020-03-01,566
8,0.19058997,0.210440709312475,0.0281691050280298,239,-0.704698970475719,0.238761238761239,1000,8,0.255166281071429,0.259104938754629,0.018572540941692,403,-0.212068865297716,0.402597402597403,1000,-2.55995017830518,"Thuringia",2020-03-01,566
73,0.246003256849315,0.285612407217166,0.0166217467962034,12,-2.38297158857563,0.011988011988012,1000,73,0.410781177715373,0.411567064793082,0.00514156984056407,420,-0.152849635827047,0.41958041958042,1000,-9.14726361049836,"Baden-Wurttemberg",2020-04-01,397
103,0.175818623271845,0.268417964638932,0.0130664361968423,1,-7.08680928541675,0.000999000999000999,1000,103,0.404780460954464,0.411861063990415,0.00418801186110046,41,-1.6906836157074,0.040959040959041,1000,-7.31491511885085,"Bavaria",2020-04-01,397
59,0.184677993032203,0.297184149701924,0.0169121599245736,1,-6.65238249706044,0.000999000999000999,1000,59,0.41181362815675,0.411326717611766,0.00580319144217869,561,0.0839039259407708,0.56043956043956,1000,-2.94844451215147,"Berlin",2020-04-01,397
7,0.347947651428571,0.369393823794629,0.031257646585988,188,-0.686109631032521,0.187812187812188,1000,7,0.370753255238095,0.410802021469181,0.01912043505472,21,-2.09455308503556,0.020979020979021,1000,-3.67213445051958,"Brandenburg",2020-04-01,397
40,0.199059696,0.31548996100995,0.0193280640155889,1,-6.02389690535194,0.000999000999000999,1000,40,0.434240353258974,0.411253315664053,0.00744385435233714,1000,3.08805579836532,0.999000999000999,1000,-3.76224053756334,"Hamburg",2020-04-01,397
2,0.3748162,0.4110096096294,0.0460040276758297,161,-0.786744366915853,0.160839160839161,1000,2,0.3748162,0.4115966884752,0.0427475571519185,183,-0.860411469700774,0.182817182817183,1000,NA,"Hesse",2020-04-01,397
