"ses.mntd.ntaxa","ses.mntd.mntd.obs","ses.mntd.mntd.rand.mean","ses.mntd.mntd.rand.sd","ses.mntd.mntd.obs.rank","ses.mntd.mntd.obs.z","ses.mntd.mntd.obs.p","ses.mntd.runs","ses.mpd.ntaxa","ses.mpd.mpd.obs","ses.mpd.mpd.rand.mean","ses.mpd.mpd.rand.sd","ses.mpd.mpd.obs.rank","ses.mpd.mpd.obs.z","ses.mpd.mpd.obs.p","ses.mpd.runs","gamma","d.D","d.P(D=1)","d.P(D=0)","area","month","tree_size"
15,0.0071648068,0.8166337,0.15869297,   1.0, -5.10084918,0.000999001,1000,15,0.0279776687,1.2980962,0.19804861,   1.0, -6.41316581,0.000999001,1000, 3.493588141,-1.340751e+00, 0.000000e+00, 1.000000e+00,"Calabria",2020-04-01,294
68,0.2469098007,0.5160253,0.06238145,   1.0, -4.31403036,0.000999001,1000,68,0.8569735984,1.3009166,0.08719963,   1.0, -5.09111133,0.000999001,1000, 0.877723893,-6.141040e-02, 0.000000e+00, 6.330000e-01,"Campania",2020-04-01,294
10,0.4958913530,0.9085687,0.18958952,  14.0, -2.17668857,0.013986014,1000,10,1.5902925927,1.2879122,0.25310624, 855.0,  1.19467771,0.854145854,1000, 1.275676923,-5.252667e-01, 0.000000e+00, 7.950000e-01,"Emilia-Romagna",2020-04-01,294
 4,0.2541190375,1.0639721,0.29705662,   3.0, -2.72625844,0.002997003,1000, 4,0.4623132250,1.2969103,0.41161607,   1.0, -2.02761043,0.000999001,1000, 1.299286747,-2.098633e+00, 0.000000e+00, 9.550000e-01,"Friuli-Venezia Giulia",2020-04-01,294
 3,0.9370605100,1.1265989,0.39546473, 490.0, -0.47928017,0.489510490,1000, 3,0.9380936867,1.2793910,0.49539730, 574.0, -0.68893649,0.573426573,1000,-1.731557219, 3.855836e+00, 9.590000e-01, 3.100000e-02,"Lazio",2020-04-01,294
44,1.0818486057,0.6070698,0.08589612,1001.0,  5.52736080,1.000000000,1000,44,1.8639070170,1.3050862,0.11437251,1001.0,  4.88597181,1.000000000,1000,-3.259318610, 4.937210e-01, 0.000000e+00, 5.000000e-02,"Lombardia",2020-04-01,294
 6,0.4433745817,0.9917418,0.23980387,   8.0, -2.28673223,0.007992008,1000, 6,0.7742455213,1.2838742,0.33861724,  18.0, -1.50502879,0.017982018,1000,-0.601257348, 3.514448e-01, 2.070000e-01, 2.680000e-01,"Marche",2020-04-01,294
 6,0.4906896700,0.9841761,0.24056832,  23.0, -2.05133595,0.022977023,1000, 6,0.6993975173,1.2981848,0.33855815,   9.0, -1.76863945,0.008991009,1000,-0.615010553, 2.035412e-01, 1.090000e-01, 3.390000e-01,"Piemonte",2020-04-01,294
10,0.7306069650,0.8958977,0.19224158, 199.0, -0.85980721,0.198801199,1000,10,1.3535316016,1.3068981,0.24989297, 483.0,  0.18661398,0.482517483,1000,-0.722033129, 4.388799e-01, 7.700000e-02, 1.880000e-01,"Sardegna",2020-04-01,294
32,0.3929720228,0.6644108,0.10224165,   1.0, -2.65487448,0.000999001,1000,32,1.1809497095,1.3037026,0.13600188, 170.0, -0.90258210,0.169830170,1000,-0.392882444, 3.413886e-01, 0.000000e+00, 1.860000e-01,"Trentino-Alto Adige",2020-04-01,294
 1,NA,NA,NA,NA,NA,NA,1000, 1,NA,NA,NA,NA,NA,NA,1000,NA, 1.938450e+01, 9.400000e-02, 7.120000e-01,"Tuscany",2020-04-01,294
 5,0.3458368780,1.0117817,0.26425258,   5.0, -2.52010707,0.004995005,1000, 5,0.7897791580,1.2871811,0.36431649,  29.0, -1.36530167,0.028971029,1000,-0.104277710, 1.954786e-01, 1.950000e-01, 3.400000e-01,"Umbria",2020-04-01,294
44,0.3470328291,0.6008082,0.08248341,   3.0, -3.07668324,0.002997003,1000,44,1.2548144412,1.3031534,0.11571127, 333.0, -0.41775477,0.332667333,1000, 1.038222547, 1.069269e-01, 0.000000e+00, 3.480000e-01,"Veneto",2020-04-01,294
